Name;Lat;Lng;;;
Amsterdam Dance Centre;52.309.125;4.822.465;;;Source: GeoCommons
Amsterdam School of the Arts;52.374.436;4.897.996;;;
Global Dance Centre;52.326.059;4.945.618;;;
New Dance Studios;52.370.036;4.861.567;;;
Henny Jurriens Foundation;52.370.040;4.861.570;;;
Amsterdamse Balletschool;52.374.929;4.903.825;;;
Balletstudio Marieke van der Heijden;52.365.875;4.879.108;;;
Dansschool Kluver;52.352;4.866.243;;;
Jacob Maris;52.365.711;4.855.276;;;
Salsa Caliente;5.236.772;4.897.451;;;
Lijfwijs;52.369.696;4.913.272;;;
Extremos;5.236.227;4.886.126;;;
Motion Dance Studio;52.323.731;497.696;;;
SalsAmsterdam;52.367.241;4.864.558;;;
